Model,Independent_Judge_Mean,Valid,Pairwise_Wins,Pairwise_Losses,Pairwise_Ties,Pairwise_Win_Rate,Category_Mean,Category_SD,avg_cmi_percent,avg_english_share,avg_hindi_share,both_languages_rate
HingGPT,2.464,28,24,176,4,0.1176,2.519,0.337,6.020399943127315,0.9033814347423964,0.0672068005517213,0.5294117647058824
Phi-3.5-mini,3.912,34,157,47,0,0.7696,3.906,0.265,10.611558760347688,0.5818453365166167,0.3887428987775008,0.5
Qwen2.5-3B,3.697,33,97,105,2,0.4755,3.706,0.286,2.9554809190953555,0.8922939303048447,0.1077060696951552,0.3235294117647059
Qwen2.5-7B,3.882,34,126,76,2,0.6176,3.894,0.115,10.15829030805712,0.8033621518644838,0.1672260834296339,0.4705882352941176
